"Employee ID","Registration Number","First Name","Middle Name",Surname,Gender,"Date of Birth",Email,"Mobile Number",Department,"Grade Level",Step,"Appointment Type","Date of First Appointment","Years of Service",Status,State,LGA,"Bank Name","Account Number","Account Name"
11,REG00011,Nkechi,,Odetola,Female,2001-10-22,nkechi.odetola11@company.com,09082584003,"Information Technology",GL14,"Step 8",Permanent,2019-10-22,6,Active,,,"Union Bank of Nigeria",2980993945,"Nkechi Odetola"
12,REG00012,Nwankwo,,Oyinloye,Male,1975-10-22,nwankwo.oyinloye12@company.com,07015000594,Finance,GL14,"Step 5",Permanent,1997-10-22,28,Active,,,FCMB,5380582706,"Nwankwo Oyinloye"
13,REG00013,Chinaza,,Oyesiku,Male,1973-10-22,chinaza.oyesiku13@company.com,08153179092,Finance,,,Contract,1999-10-22,26,Suspended,,,FCMB,7356576982,"Chinaza Oyesiku"
14,REG00014,Sarah,,Patel,Male,1986-10-22,sarah.patel14@company.com,08146575667,"Information Technology",,,Contract,2004-10-22,21,Active,,,"Heritage Bank",2884494955,"Sarah Patel"
15,REG00015,Aminat,,Bashir,Female,1975-10-22,aminat.bashir15@company.com,09067801786,"Information Technology",GL12,"Step 2",Permanent,1994-10-22,31,Suspended,,,"Guaranty Trust Bank",7193393882,"Aminat Bashir"
16,REG00016,Ngozika,Kemi,Agoi,Male,1985-10-22,ngozika.agoi16@company.com,08171455835,"Human Resources",,,Contract,2025-10-22,0,Suspended,,,"Heritage Bank",3592803493,"Ngozika Agoi"
17,REG00017,Ngozi,,Ajumobi,Male,2001-10-22,ngozi.ajumobi17@company.com,08193813295,"Human Resources",,,Contract,2019-10-22,6,Suspended,,,"Parallex Bank",4023913858,"Ngozi Ajumobi"
18,REG00018,Uchechukwu,,Wilson,Female,1992-10-22,uchechukwu.wilson18@company.com,09054845678,"Human Resources",GL11,"Step 5",Permanent,2015-10-22,10,Suspended,,,"Sterling Bank",2897116702,"Uchechukwu Wilson"
19,REG00019,Wasiu,Babatunde,Harris,Male,1983-10-22,wasiu.harris19@company.com,08187309639,"Information Technology",,,Contract,2021-10-22,4,Active,,,"Keystone Bank",5806999813,"Wasiu Harris"
20,REG00020,Bukola,,Mbanefo,Female,1981-10-22,bukola.mbanefo20@company.com,09019732195,"Human Resources",GL15,"Step 4",Permanent,1999-10-22,26,Active,,,"Guaranty Trust Bank",5789118565,"Bukola Mbanefo"
21,REG00021,Paul,,Sule,Female,1989-10-22,paul.sule21@company.com,09063745025,Finance,,,Contract,2011-10-22,14,Suspended,,,"Ecobank Nigeria",5152014788,"Paul Sule"
22,REG00022,Mojisola,,Anderson,Female,1985-10-22,mojisola.anderson22@company.com,08087791688,"Information Technology",,,Contract,2019-10-22,6,Suspended,,,"Parallex Bank",2012023887,"Mojisola Anderson"
23,REG00023,Ifeanyi,,Thompson,Male,1979-10-22,ifeanyi.thompson23@company.com,09076319883,"Human Resources",GL14,"Step 3",Permanent,1997-10-22,28,Suspended,,,"Jaiz Bank",1339443324,"Ifeanyi Thompson"
24,REG00024,Nkiru,,Okonkwo,Male,1982-10-22,nkiru.okonkwo24@company.com,07033589220,"Information Technology",,,Contract,2023-10-22,2,Active,,,"Ecobank Nigeria",6998713093,"Nkiru Okonkwo"
25,REG00025,Uchechukwu,,Aderibigbe,Female,1997-10-22,uchechukwu.aderibigbe25@company.com,08166811133,"Human Resources",,,Contract,2015-10-22,10,Suspended,,,"Citibank Nigeria",1249148755,"Uchechukwu Aderibigbe"
26,REG00026,Kehinde,Jumoke,Aluko,Female,1976-10-22,kehinde.aluko26@company.com,08116848913,"Human Resources",GL13,"Step 12",Permanent,1997-10-22,28,Suspended,,,"Fidelity Bank",2884030860,"Kehinde Aluko"
27,REG00027,William,James,Bamisebi,Female,1967-10-22,william.bamisebi27@company.com,09062694756,"Human Resources",GL13,"Step 5",Permanent,1994-10-22,31,Active,,,"Ecobank Nigeria",1485300627,"William Bamisebi"
28,REG00028,Akin,Ujunwa,Bello,Male,1980-10-22,akin.bello28@company.com,09078742800,"Information Technology",,,Contract,1998-10-22,27,Active,,,"Parallex Bank",3227792484,"Akin Bello"
29,REG00029,Nkiru,Chukwu,Ozoigbo,Female,1988-10-22,nkiru.ozoigbo29@company.com,09063408890,Finance,,,Contract,2006-10-22,19,Suspended,,,"Polaris Bank",3212796771,"Nkiru Ozoigbo"
30,REG00030,William,Christopher,Balogun,Male,1967-10-22,william.balogun30@company.com,09019538712,Finance,,,Contract,2025-10-22,0,Active,,,FCMB,5580737103,"William Balogun"
31,REG00031,Chioma,Ifeanyi,Fashina,Male,1968-10-22,chioma.fashina31@company.com,08126131056,Finance,,,Contract,2025-10-22,0,Active,,,"Union Bank of Nigeria",2211826635,"Chioma Fashina"
32,REG00032,Oyin,,White,Female,2005-10-22,oyin.white32@company.com,07038273299,Finance,,,Contract,2023-10-22,2,Active,,,"Polaris Bank",2347211647,"Oyin White"
33,REG00033,Paul,Rasheedah,Davis,Male,1966-10-22,paul.davis33@company.com,09013276470,Finance,,,Contract,1999-10-22,26,Suspended,,,"Union Bank of Nigeria",4881618837,"Paul Davis"
34,REG00034,Chidi,,Harris,Male,1966-10-22,chidi.harris34@company.com,08156447156,Finance,GL11,"Step 7",Permanent,2015-10-22,10,Active,,,"Wema Bank",7345562588,"Chidi Harris"
35,REG00035,Kikelomo,,Amarachi,Female,1987-10-22,kikelomo.amarachi35@company.com,08112819572,Finance,GL10,"Step 13",Permanent,2005-10-22,20,Active,,,"Wema Bank",2306350275,"Kikelomo Amarachi"
36,REG00036,Christopher,Jumoke,Ladele,Female,1977-10-22,christopher.ladele36@company.com,08079102805,Finance,GL12,"Step 13",Permanent,2015-10-22,10,Active,,,FCMB,7163891777,"Christopher Ladele"
37,REG00037,Ngozi,,Omorede,Male,1971-10-22,ngozi.omorede37@company.com,08186000190,"Information Technology",,,Contract,2024-10-22,1,Suspended,,,"Globus Bank",5088231922,"Ngozi Omorede"
38,REG00038,Jumoke,Omowumi,Ahmad,Female,1974-10-22,jumoke.ahmad38@company.com,08015488351,Finance,,,Contract,2017-10-22,8,Active,,,"Guaranty Trust Bank",4622629052,"Jumoke Ahmad"
39,REG00039,Mubarak,,Olufunmi,Female,1989-10-22,mubarak.olufunmi39@company.com,08092902805,"Information Technology",GL07,"Step 6",Permanent,2014-10-22,11,Suspended,,,"First City Monument Bank",3146838889,"Mubarak Olufunmi"
40,REG00040,Barbara,,Adepoju,Male,2002-10-22,barbara.adepoju40@company.com,08115558385,Finance,GL12,"Step 13",Permanent,2023-10-22,2,Suspended,,,"Providus Bank",9922366920,"Barbara Adepoju"
41,REG00041,Chidi,Chukwu,Orji,Female,1998-10-22,chidi.orji41@company.com,08019964328,Finance,GL03,"Step 12",Permanent,2024-10-22,1,Suspended,,,"Heritage Bank",1457564906,"Chidi Orji"
42,REG00042,Ifeanyi,,Balogun,Male,1967-10-22,ifeanyi.balogun42@company.com,09022798878,"Human Resources",,,Contract,2005-10-22,20,Suspended,,,"Wema Bank",8621936708,"Ifeanyi Balogun"
43,REG00043,Sarah,Chinaza,Miller,Male,2005-10-22,sarah.miller43@company.com,09028496772,"Information Technology",,,Contract,2023-10-22,2,Suspended,,,"Unity Bank",2347091581,"Sarah Miller"
44,REG00044,Chukwu,Bimbo,Bashir,Male,1973-10-22,chukwu.bashir44@company.com,08176847510,"Human Resources",,,Contract,2020-10-22,5,Active,,,"SunTrust Bank",6609891371,"Chukwu Bashir"
45,REG00045,Chidiebere,,Iwu,Female,1990-10-22,chidiebere.iwu45@company.com,08102152079,"Information Technology",,,Contract,2008-10-22,17,Suspended,,,"Sterling Bank",8006937739,"Chidiebere Iwu"
46,REG00046,Aderonke,Jennifer,Ani,Female,1971-10-22,aderonke.ani46@company.com,09098714131,"Information Technology",,,Contract,2004-10-22,21,Suspended,,,"Stanbic IBTC Bank",9579838775,"Aderonke Ani"
47,REG00047,Olamide,,Ayodele,Male,1988-10-22,olamide.ayodele47@company.com,09036891365,"Human Resources",GL07,"Step 7",Permanent,2006-10-22,19,Active,,,"Globus Bank",3595663179,"Olamide Ayodele"
48,REG00048,Jessica,Oyin,Bamidele,Male,1999-10-22,jessica.bamidele48@company.com,09019604915,Finance,GL13,"Step 2",Permanent,2017-10-22,8,Suspended,,,"Polaris Bank",7917744807,"Jessica Bamidele"
49,REG00049,Grace,Halima,Ayeni,Male,1993-10-22,grace.ayeni49@company.com,08154040998,Finance,GL06,"Step 1",Permanent,2011-10-22,14,Suspended,,,"Unity Bank",6465187928,"Grace Ayeni"
50,REG00050,Adunni,Elizabeth,Bamidele,Female,2004-10-22,adunni.bamidele50@company.com,08152817361,Finance,,,Contract,2024-10-22,1,Suspended,,,"Keystone Bank",3097471637,"Adunni Bamidele"
51,REG00051,Busola,Nkem,Aliyu,Female,1985-10-22,busola.aliyu51@company.com,07028905083,Finance,,,Contract,2003-10-22,22,Suspended,,,"Wema Bank",8156617209,"Busola Aliyu"
52,REG00052,Adepeju,,Ani,Female,1992-10-22,adepeju.ani52@company.com,08121255979,"Information Technology",GL11,"Step 9",Permanent,2010-10-22,15,Active,,,"Fidelity Bank",4448600313,"Adepeju Ani"
53,REG00053,Busola,,Oyinloye,Male,1971-10-22,busola.oyinloye53@company.com,07039645273,"Information Technology",,,Contract,2014-10-22,11,Suspended,,,"Guaranty Trust Bank",4160665216,"Busola Oyinloye"
54,REG00054,Mojisola,Kehinde,Williams,Male,1991-10-22,mojisola.williams54@company.com,09035082928,Finance,GL04,"Step 10",Permanent,2010-10-22,15,Suspended,,,"Globus Bank",4243461039,"Mojisola Williams"
55,REG00055,Ifeanyi,,Allen,Male,1990-10-22,ifeanyi.allen55@company.com,08095182450,"Information Technology",,,Contract,2008-10-22,17,Active,,,"Titan Trust Bank",3195943203,"Ifeanyi Allen"
56,REG00056,Elizabeth,,Adebisi,Male,1996-10-22,elizabeth.adebisi56@company.com,09069659533,"Information Technology",,,Contract,2014-10-22,11,Active,,,"Ecobank Nigeria",3470727795,"Elizabeth Adebisi"
57,REG00057,Elizabeth,Michael,Garcia,Male,2003-10-22,elizabeth.garcia57@company.com,08047141133,"Human Resources",,,Contract,2025-10-22,0,Suspended,,,"Parallex Bank",9435541613,"Elizabeth Garcia"
58,REG00058,David,,Anifowoshe,Female,1991-10-22,david.anifowoshe58@company.com,08014878626,"Human Resources",,,Contract,2009-10-22,16,Active,,,"SunTrust Bank",4652067067,"David Anifowoshe"
59,REG00059,Ahmad,,Balogun,Male,1990-10-22,ahmad.balogun59@company.com,08149011198,Finance,GL04,"Step 9",Permanent,2008-10-22,17,Suspended,,,"Fidelity Bank",3104669819,"Ahmad Balogun"
60,REG00060,Daniel,Adepeju,Olufunmi,Female,1988-10-22,daniel.olufunmi60@company.com,07014986621,"Information Technology",GL05,"Step 7",Permanent,2006-10-22,19,Suspended,,,"First Bank of Nigeria",5419728221,"Daniel Olufunmi"
61,REG00061,Ujunwa,Thomas,Adesanya,Male,1999-10-22,ujunwa.adesanya61@company.com,08148098165,"Human Resources",GL03,"Step 8",Permanent,2025-10-22,0,Suspended,,,"Stanbic IBTC Bank",2229676437,"Ujunwa Adesanya"
62,REG00062,Nkiru,Adebayo,Amusa,Male,2002-10-22,nkiru.amusa62@company.com,08102942048,"Information Technology",GL04,"Step 13",Permanent,2020-10-22,5,Active,,,"Wema Bank",9748925641,"Nkiru Amusa"
63,REG00063,Kikelomo,,Martinez,Male,1989-10-22,kikelomo.martinez63@company.com,08136367572,"Information Technology",GL15,"Step 1",Permanent,2007-10-22,18,Suspended,,,"SunTrust Bank",2034009387,"Kikelomo Martinez"
64,REG00064,Bukola,,Amodu,Male,1998-10-22,bukola.amodu64@company.com,08076697047,"Human Resources",,,Contract,2018-10-22,7,Active,,,"Fidelity Bank",5977895653,"Bukola Amodu"
65,REG00065,Yusuf,Uche,Uwakwe,Male,1973-10-22,yusuf.uwakwe65@company.com,08036042375,"Information Technology",GL11,"Step 8",Permanent,1996-10-22,29,Suspended,,,"Guaranty Trust Bank",4710782774,"Yusuf Uwakwe"
66,REG00066,Zainab,,Patel,Male,1992-10-22,zainab.patel66@company.com,09073233030,"Human Resources",,,Contract,2025-10-22,0,Suspended,,,"First Bank of Nigeria",1347537117,"Zainab Patel"
67,REG00067,Robert,,Igbo,Male,1968-10-22,robert.igbo67@company.com,09069719460,"Human Resources",GL15,"Step 4",Permanent,2019-10-22,6,Suspended,,,"First City Monument Bank",1163753063,"Robert Igbo"
68,REG00068,Tunde,,Akintola,Female,1966-10-22,tunde.akintola68@company.com,08014891535,"Information Technology",GL11,"Step 8",Permanent,1994-10-22,31,Active,,,"Guaranty Trust Bank",9472157830,"Tunde Akintola"
69,REG00069,Kehinde,Lekan,Balogun,Female,1989-10-22,kehinde.balogun69@company.com,08028002892,"Information Technology",,,Contract,2007-10-22,18,Active,,,"United Bank for Africa",2979577958,"Kehinde Balogun"
70,REG00070,Lisa,,Williams,Male,1983-10-22,lisa.williams70@company.com,09036382499,"Human Resources",,,Contract,2012-10-22,13,Active,,,"Jaiz Bank",2805256140,"Lisa Williams"
71,REG00071,Nkechi,,Omololu,Male,1994-10-22,nkechi.omololu71@company.com,08139223619,"Human Resources",GL06,"Step 9",Permanent,2017-10-22,8,Suspended,,,"Union Bank of Nigeria",4319864882,"Nkechi Omololu"
72,REG00072,Funmi,Halima,Sanchez,Female,1981-10-22,funmi.sanchez72@company.com,09058109567,Finance,,,Contract,2001-10-22,24,Active,,,"Polaris Bank",2649330386,"Funmi Sanchez"
73,REG00073,Halima,,Clark,Female,1995-10-22,halima.clark73@company.com,08155686988,"Human Resources",,,Contract,2021-10-22,4,Active,,,"First Bank of Nigeria",3289213489,"Halima Clark"
74,REG00074,Nkechi,,Nwankwo,Female,1983-10-22,nkechi.nwankwo74@company.com,08041721485,"Human Resources",,,Contract,2001-10-22,24,Active,,,"Heritage Bank",5323115042,"Nkechi Nwankwo"
75,REG00075,Sarah,Nwankwo,Bello,Male,1982-10-22,sarah.bello75@company.com,08024924234,"Human Resources",,,Contract,2017-10-22,8,Active,,,"Unity Bank",3312680818,"Sarah Bello"
76,REG00076,Jumoke,,Nwosu,Female,2005-10-22,jumoke.nwosu76@company.com,09039831145,"Human Resources",,,Contract,2023-10-22,2,Active,,,"Guaranty Trust Bank",5782455334,"Jumoke Nwosu"
77,REG00077,Christopher,,Isiaka,Male,1979-10-22,christopher.isiaka77@company.com,08188862110,"Information Technology",GL11,"Step 5",Permanent,1998-10-22,27,Active,,,"Union Bank of Nigeria",2352137633,"Christopher Isiaka"
78,REG00078,Kemi,Adebayo,Olawale,Male,1999-10-22,kemi.olawale78@company.com,08061386427,Finance,,,Contract,2017-10-22,8,Active,,,"First Bank of Nigeria",9846755144,"Kemi Olawale"
79,REG00079,Uche,,Afolabi,Male,1972-10-22,uche.afolabi79@company.com,08022373906,"Information Technology",GL01,"Step 5",Permanent,2004-10-22,21,Active,,,"Stanbic IBTC Bank",3868476130,"Uche Afolabi"
80,REG00080,William,Uzochi,Asaaju,Female,1998-10-22,william.asaaju80@company.com,08081487019,"Information Technology",,,Contract,2016-10-22,9,Active,,,"Citibank Nigeria",8103374022,"William Asaaju"
81,REG00081,Ugochi,Folake,Aliyu,Male,1996-10-22,ugochi.aliyu81@company.com,08073120458,"Information Technology",GL09,"Step 9",Permanent,2014-10-22,11,Active,,,"First Bank of Nigeria",1392677203,"Ugochi Aliyu"
82,REG00082,Ujunwa,Nkiru,Nwosu,Male,1999-10-22,ujunwa.nwosu82@company.com,08166555843,"Human Resources",GL12,"Step 11",Permanent,2017-10-22,8,Suspended,,,FCMB,3570203728,"Ujunwa Nwosu"
83,REG00083,Ibrahim,Funmi,Eze,Female,1987-10-22,ibrahim.eze83@company.com,09064864952,Finance,,,Contract,2015-10-22,10,Active,,,"Zenith Bank",2245514289,"Ibrahim Eze"
84,REG00084,Rasheedah,Mubarak,Asaaju,Female,1989-10-22,rasheedah.asaaju84@company.com,08081387547,"Human Resources",GL16,"Step 6",Permanent,2018-10-22,7,Suspended,,,"SunTrust Bank",7145023197,"Rasheedah Asaaju"
85,REG00085,Adebayo,Grace,Igbinedion,Male,2007-10-22,adebayo.igbinedion85@company.com,08143332766,Finance,GL05,"Step 1",Permanent,2025-10-22,0,Suspended,,,"Fidelity Bank",7585860781,"Adebayo Igbinedion"
86,REG00086,Funmi,Ngozi,David,Female,1990-10-22,funmi.david86@company.com,08146469583,"Information Technology",GL12,"Step 1",Permanent,2008-10-22,17,Active,,,"Unity Bank",1589987101,"Funmi David"
87,REG00087,Adepeju,,Azeez,Female,1982-10-22,adepeju.azeez87@company.com,09045030180,"Human Resources",,,Contract,2003-10-22,22,Suspended,,,"Wema Bank",5642899562,"Adepeju Azeez"
88,REG00088,Emeka,,Osagie,Female,1991-10-22,emeka.osagie88@company.com,09015212415,Finance,GL04,"Step 13",Permanent,2014-10-22,11,Active,,,"Ecobank Nigeria",2695210651,"Emeka Osagie"
89,REG00089,Ngozika,,Ajiboye,Female,1971-10-22,ngozika.ajiboye89@company.com,09086234547,"Information Technology",,,Contract,2007-10-22,18,Active,,,"Providus Bank",8623354485,"Ngozika Ajiboye"
90,REG00090,Chidi,William,Bakare,Female,1975-10-22,chidi.bakare90@company.com,08065316236,Finance,,,Contract,1998-10-22,27,Active,,,"Standard Chartered Bank",4463849440,"Chidi Bakare"
91,REG00091,Chidimma,,Lewis,Male,1995-10-22,chidimma.lewis91@company.com,08196639223,"Information Technology",,,Contract,2013-10-22,12,Suspended,,,"Guaranty Trust Bank",1730365932,"Chidimma Lewis"
92,REG00092,Barbara,,Miller,Male,1990-10-22,barbara.miller92@company.com,08113777303,"Human Resources",GL11,"Step 7",Permanent,2024-10-22,1,Active,,,"Ecobank Nigeria",6565518688,"Barbara Miller"
93,REG00093,Wasiu,,Zaynab,Male,1975-10-22,wasiu.zaynab93@company.com,09054775823,"Information Technology",GL06,"Step 7",Permanent,2011-10-22,14,Active,,,"Unity Bank",5728838988,"Wasiu Zaynab"
94,REG00094,Aminat,Mary,Torres,Female,1979-10-22,aminat.torres94@company.com,08178513917,"Information Technology",,,Contract,2011-10-22,14,Active,,,"Sterling Bank",8182258705,"Aminat Torres"
95,REG00095,Omobola,,Oyesiku,Male,2006-10-22,omobola.oyesiku95@company.com,08033387953,"Information Technology",GL05,"Step 9",Permanent,2024-10-22,1,Suspended,,,"Parallex Bank",9676601924,"Omobola Oyesiku"
96,REG00096,Ifeanyi,,Adepoju,Male,1971-10-22,ifeanyi.adepoju96@company.com,08035579376,"Information Technology",,,Contract,2017-10-22,8,Suspended,,,"Guaranty Trust Bank",5866784493,"Ifeanyi Adepoju"
97,REG00097,Aminat,Nkechi,Anderson,Male,2002-10-22,aminat.anderson97@company.com,08198061590,"Human Resources",GL01,"Step 7",Permanent,2020-10-22,5,Suspended,,,"Titan Trust Bank",2279634945,"Aminat Anderson"
98,REG00098,Kehinde,,Mustapha,Male,1978-10-22,kehinde.mustapha98@company.com,08168263576,"Information Technology",GL09,"Step 4",Permanent,1996-10-22,29,Active,,,"Ecobank Nigeria",7291688362,"Kehinde Mustapha"
99,REG00099,Mojisola,Busola,Adepoju,Female,1977-10-22,mojisola.adepoju99@company.com,09016760313,"Information Technology",,,Contract,2006-10-22,19,Active,,,"Providus Bank",5386332899,"Mojisola Adepoju"
100,REG00100,Patricia,Gbemisola,Thomas,Male,1975-10-22,patricia.thomas100@company.com,08085766981,"Information Technology",GL04,"Step 6",Permanent,2001-10-22,24,Suspended,,,"Wema Bank",7123250893,"Patricia Thomas"
101,REG00101,Adedayo,,Uwakwe,Female,1965-10-22,adedayo.uwakwe101@company.com,07018390727,"Information Technology",GL16,"Step 2",Permanent,2009-10-22,16,Suspended,,,"Zenith Bank",9633391340,"Adedayo Uwakwe"
102,REG00102,Ujunwa,,David,Male,2003-10-22,ujunwa.david102@company.com,07034021550,"Information Technology",,,Contract,2023-10-22,2,Active,,,"Unity Bank",2540231018,"Ujunwa David"
103,REG00103,Mary,Chidiebere,Fashina,Female,1977-10-22,mary.fashina103@company.com,08134640682,Finance,,,Contract,1995-10-22,30,Active,,,"Unity Bank",8363407450,"Mary Fashina"
104,REG00104,Kehinde,Oyin,Ajiboye,Female,2005-10-22,kehinde.ajiboye104@company.com,08062611886,"Human Resources",GL04,"Step 6",Permanent,2023-10-22,2,Suspended,,,"Polaris Bank",3295458731,"Kehinde Ajiboye"
105,REG00105,Lekan,,Lewis,Female,1972-10-22,lekan.lewis105@company.com,09099869333,"Human Resources",GL13,"Step 4",Permanent,1998-10-22,27,Active,,,"Parallex Bank",4775548386,"Lekan Lewis"
106,REG00106,Rasheedah,James,Jaja,Male,1988-10-22,rasheedah.jaja106@company.com,09087511407,"Information Technology",,,Contract,2019-10-22,6,Suspended,,,"First City Monument Bank",4052730282,"Rasheedah Jaja"
107,REG00107,Rasheedah,,Moore,Male,1975-10-22,rasheedah.moore107@company.com,09055957019,"Information Technology",GL04,"Step 14",Permanent,2002-10-22,23,Suspended,,,"Unity Bank",1038856266,"Rasheedah Moore"
108,REG00108,Michael,,Mustapha,Female,2006-10-22,michael.mustapha108@company.com,07045122895,"Human Resources",,,Contract,2024-10-22,1,Active,,,"Stanbic IBTC Bank",5404603507,"Michael Mustapha"
109,REG00109,Ugochi,Ngozi,Agoi,Male,1974-10-22,ugochi.agoi109@company.com,08188931629,"Information Technology",,,Contract,1992-10-22,33,Active,,,"Titan Trust Bank",6096468484,"Ugochi Agoi"
110,REG00110,Aderonke,,Bello,Female,1972-10-22,aderonke.bello110@company.com,09027483816,"Information Technology",GL14,"Step 4",Permanent,1999-10-22,26,Suspended,,,"United Bank for Africa",9026237127,"Aderonke Bello"
111,REG00111,Paul,,Azikiwe,Female,1973-10-22,paul.azikiwe111@company.com,08097562088,"Information Technology",GL09,"Step 11",Permanent,2009-10-22,16,Suspended,,,"First City Monument Bank",7915144244,"Paul Azikiwe"
112,REG00112,Ugochi,,Wilson,Male,1972-10-22,ugochi.wilson112@company.com,08145155494,"Information Technology",GL16,"Step 14",Permanent,1997-10-22,28,Suspended,,,"Citibank Nigeria",1219918498,"Ugochi Wilson"
113,REG00113,Ujunwa,,Busari,Female,1974-10-22,ujunwa.busari113@company.com,09088915788,"Human Resources",GL05,"Step 8",Permanent,2007-10-22,18,Active,,,"United Bank for Africa",2482147917,"Ujunwa Busari"
114,REG00114,Adepeju,Adedayo,Gbajumo,Female,1998-10-22,adepeju.gbajumo114@company.com,09043527314,"Human Resources",,,Contract,2016-10-22,9,Suspended,,,"First City Monument Bank",2373162596,"Adepeju Gbajumo"
115,REG00115,Zara,,Oyinloye,Female,1975-10-22,zara.oyinloye115@company.com,08174819709,"Information Technology",GL03,"Step 15",Permanent,1993-10-22,32,Suspended,,,"First City Monument Bank",2330987450,"Zara Oyinloye"
116,REG00116,Nkechi,,Martin,Male,2004-10-22,nkechi.martin116@company.com,08064512339,"Information Technology",GL16,"Step 3",Permanent,2022-10-22,3,Active,,,"Wema Bank",4885986508,"Nkechi Martin"
117,REG00117,Sarah,,Anderson,Male,1973-10-22,sarah.anderson117@company.com,07029496754,Finance,,,Contract,2015-10-22,10,Suspended,,,"Keystone Bank",7607829617,"Sarah Anderson"
118,REG00118,Adunni,Gbemisola,Aluko,Female,1967-10-22,adunni.aluko118@company.com,08186791060,Finance,GL10,"Step 15",Permanent,2021-10-22,4,Active,,,"SunTrust Bank",9112282834,"Adunni Aluko"
119,REG00119,Oyin,,Azikiwe,Male,1968-10-22,oyin.azikiwe119@company.com,08149810464,"Information Technology",,,Contract,2025-10-22,0,Suspended,,,"Sterling Bank",2858491419,"Oyin Azikiwe"
120,REG00120,Uzochi,Titi,Bankole,Male,1983-10-22,uzochi.bankole120@company.com,08154545365,Finance,GL08,"Step 11",Permanent,2002-10-22,23,Active,,,"Parallex Bank",3362854410,"Uzochi Bankole"
121,REG00121,Adebayo,,Mbanefo,Male,2000-10-22,adebayo.mbanefo121@company.com,08083596423,Finance,GL03,"Step 7",Permanent,2025-10-22,0,Active,,,"First Bank of Nigeria",9463935732,"Adebayo Mbanefo"
122,REG00122,Nkiru,,David,Female,1968-10-22,nkiru.david122@company.com,08012516108,Finance,GL12,"Step 10",Permanent,1991-10-22,34,Active,,,"Stanbic IBTC Bank",2098625584,"Nkiru David"
123,REG00123,Ngozi,,Adebayo,Female,1970-10-22,ngozi.adebayo123@company.com,09028567403,"Human Resources",GL01,"Step 8",Permanent,1994-10-22,31,Suspended,,,"Wema Bank",2572102634,"Ngozi Adebayo"
124,REG00124,Lekan,,Odeyemi,Male,1998-10-22,lekan.odeyemi124@company.com,08089803662,"Information Technology",GL09,"Step 8",Permanent,2016-10-22,9,Suspended,,,"Sterling Bank",3186702738,"Lekan Odeyemi"
125,REG00125,Busola,Bimbo,Torres,Female,1979-10-22,busola.torres125@company.com,08165668731,Finance,,,Contract,2004-10-22,21,Active,,,"Fidelity Bank",9210036370,"Busola Torres"
126,REG00126,Chioma,,Ajumobi,Female,1982-10-22,chioma.ajumobi126@company.com,08184541478,"Information Technology",GL07,"Step 8",Permanent,2003-10-22,22,Active,,,"Guaranty Trust Bank",8125356471,"Chioma Ajumobi"
127,REG00127,Matthew,,Sanchez,Female,1972-10-22,matthew.sanchez127@company.com,08132590221,Finance,,,Contract,1999-10-22,26,Suspended,,,"United Bank for Africa",7531353388,"Matthew Sanchez"
